playerId,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
20773,Phanetavanh Outhavong,F,Raw,34.5,70.93,140,157.5,75
3091,Micheal Seay,M,Raw,20.5,73,232.5,260,150
22733,Pam Windrum,F,Single-ply,27.5,94.9,180,160,105
18874,Gerald Dionio,M,Raw,21,58,177.5,232.5,137.5
21407,Joe Reinicke,M,Single-ply,17.5,78.38,222.3,229.1,120.2
29380,Anna Fetter,F,Raw,26,96.7,72.5,105,50
2178,Steve Stout,M,Single-ply,53.5,92.2,197.5,245,172.5
3331,Christian Fisher,M,Multi-ply,35.5,104.1,297.1,249.48,213.19
17834,Susan Bartley,F,Single-ply,40,80,137.5,167.5,85
12170,Chris Kessler,M,Wraps,31,89.81,182.5,207.5,115
2783,Max Bristow,M,Single-ply,69.5,65.3,155,215,87.5
6100,Rachel Opio,F,Raw,31.5,76.1,105,132.5,52.5
13413,Tracee Patterson,F,Raw,37,81.6,115,172.5,80
24450,Samantha Thomasson,F,Raw,17.5,62.5,130,137.5,88
14522,Brittani Stephan,F,Wraps,20,88.6,105,117.5,55
23362,Wynter Addams,F,Wraps,19,67.2,212.5,190,112.5
27621,Michael Howell,M,Raw,29,120.97,295,335,192.5
5376,Courtney Hart,M,Wraps,41,107,295,265,187.5
25539,Jeffrey Johnstone,M,Raw,31.5,76.3,155,215,90
7654,Shayle Dudash Williams,F,Raw,40,65.2,115,137.5,62.5
22522,Charmane Smith,F,Raw,30.5,101.1,135,182.5,75
11462,Haylee Lindquist,F,Raw,26,51.7,102..5,100,52.5
19770,Lachlan Rickards,M,Raw,21.5,86.9,210,230,127.5
25248,TJ Gerking,M,Raw,22,87.4,222.5,260,130
12831,Leslie Nelson,M,Single-ply,25,73.14,114.99,172.48,92.42
20853,Nate Wagoner,M,Wraps,24,85.9,227.5,255,155
4909,Rex Reguindin,M,Raw,20,88.8,220,245,142.5
29636,Robert Currie,M,Raw,23,95.44,205,272.5,142.5
5412,Bart Moffitt,M,Raw,26,98.5,182.5,195,130
29146,Andrew King,M,Wraps,19,147.05,295.02,272.52,227.52
11417,Sam Bowles,M,Wraps,22,67.22,149.69,204.12,108.86
27984,Theresa Hayes,F,Raw,32,96.52,130,142.5,75
17893,Marcus Midkiff,M,Wraps,31,74.57,167.83,231.33,122.47
29186,William Moore,M,Wraps,35,78.02,165.56,206.38,111.13
9806,Chiaki Takada,F,Raw,50.5,46.3,77.5,105,50
4230,Don McKinney,M,Raw,54.5,120.1,230,245,167.5
18242,Stephanie Cantrell,F,Raw,39,82.9,135,177.5,65
7019,Corey Fleagle,M,Wraps,31,89.3,247.5,297.5,167.5
27212,Chip Holston,M,Raw,42,97.5,260,272.5,165
29843,Daria Vakhrameeva,F,Single-ply,15.5,59.8,167.5,145,115.5
17102,Ross Buckwalter,M,Raw,27.5,92.85,230,272.5,127.5
28750,Neil Shah,M,Raw,24,79.5,152.5,217.5,105
9851,Charlie Krause,M,Wraps,57,133.81,182.5,215,135
23392,Corey Mueller,F,Raw,24.5,59.9,112.5,150,55
18879,Nygil Chamber,M,Raw,36,127.5,192.5,210,190
11443,Nadia Renee,F,Raw,33.5,55.97,117.5,135,70
5992,Roy Hegge,M,Raw,63,97.07,165,190,117.5
26525,Allie Perry,F,Raw,16.5,93,125,122.5,60
1579,Logan Rogers,M,Single-ply,18.5,92.1,285,287.5,172.5
19297,Melissa Wakefield,F,Raw,28,74.5,117.5,165,67.5
2968,Xiang-Ting Fu,M,Raw,21.5,87.3,182.5,242.5,125
16119,Jaimie Clarke,M,Raw,31.5,57.85,85,160,97.5
22607,Andrey Kirindyasov,M,Wraps,27,96.5,245,230,175
21365,Ali Gascoine,F,Raw,52.5,49.9,90,155.5,57.5
14848,Arturs Paikis,M,Raw,25.5,104.35,250,290,160
967,Anthony Diez,M,Raw,19,88.6,-197.5,240,120
5547,Kelly Tinsman,F,Wraps,40,85.8,107.5,122.5,45
13373,Denny Chung,M,Single-ply,20.5,73.9,210,250,125
18143,Erik Røen,M,Raw,20.5,133.71,297.5,322.5,187.5
18785,Jordan Leong,M,Wraps,21,66.3,152.5,220,100
29185,Alfred Jong,M,Raw,31.5,58.76,172.5,222.5,110
14802,Mary Giffin,F,Raw,44.5,62.85,137.5,145,82.5
19784,Samantha Nava,F,Raw,24.5,55,90,132.5,47.5
21129,Stephanie Thies,F,Wraps,38,52,112.5,105,62.5
1691,Andreas Hjelmtveit,M,Single-ply,31.5,110.95,395,375,235
11621,Jun Furukawa,M,Raw,18.5,81.72,230,275,120
5293,Christian Flores,M,Single-ply,16.5,55.9,117.5,137.5,67.5
25644,Alexis Snider,F,Raw,15.5,57.9,77.5,100,35
21656,Franklin Leon,M,Single-ply,33.5,59.25,280,235,177.5
13287,Francesco Catalano,M,Wraps,22,90,233.6,254.01,170.1
658,Dallas White,M,Raw,31,72.4,175,220,122.5
18523,Ivan Michael Legaspi,M,Wraps,22,66.4,167.5,190,100
28404,Joseph Millslagle,M,Raw,31,95.5,200,280,182.5
26137,Shannon Kehoe,F,Wraps,22,55.8,102.5,142.5,77.5
4545,John Nocito,M,Single-ply,22,74,200,215,142.5
18466,Jesse Shelton,M,Raw,29,81.5,185,215,145
9037,An Vu,M,Raw,18,59.8,105,142.5,72.5
10741,Al Serna,M,Raw,23,65.23,167.5,160,120
4012,Andrew Loulanting,M,Raw,20.5,101.5,207.5,255,132.5
19398,Lacey Mesley,F,Raw,30,74.8,177.5,195,95
12293,Lincoln Grant,M,Wraps,30,96.8,255,295,130
549,Rebekah Fontana,F,Raw,18.5,50.16,77.5,100,40
19007,Jadynn Mendez,M,Wraps,14,64.8,110,137.5,62.5
15879,Mikayla Keeley,F,Raw,21.5,55.3,82.5,110,37.5
7134,Brian Irmiter,M,Wraps,27,100,237.5,242.5,182.5
3131,Alina Chashchyna,F,Raw,14.5,42.76,85,110,50
15970,Lindsey Pennel,F,Single-ply,16.5,50.85,97.5,113.4,45.4
6626,Brandon Davis,M,Raw,17,100,142.88,183.7,111.13
7513,Kaci Rael,F,Single-ply,14.5,88.8,115,117.5,65
14216,Ken Alexander,M,Raw,58,80.8,137.5,165,75
6639,Clancy Jones,M,Raw,30.5,136.3,190,240,162.5
15218,Collin Wilson,M,Raw,17,134.1,195,222.5,125
21166,Juliana Mazzeo,F,Raw,21.5,69.2,112.5,127.5,62.5
14711,Kevin Koch,M,Single-ply,35.5,160.8,370,290,352.5
12499,Josh Ballou,M,Raw,36.5,101.8,197.5,220,160
8903,Andrew Shuman,M,Raw,15,88.3,155,187.5,90
26850,Andrew Syvertsen,M,Wraps,20,86.2,175,202.5,97.5
21076,Aleksandr Kozhevnikov,M,Wraps,24,108.5,250,240,190
27537,Sarah Houhoulis,F,Raw,24.5,63.3,130,140,82.5
12801,Matt Middleton,M,Wraps,29,102.6,302.5,300,202.5
12104,Nate Bush,M,Raw,19.5,102.9,220,272.5,132.5
6532,Liz Gasca,F,Raw,26,63.8,95,107.5,47.5
26740,Henrique Sinihur,M,Raw,22.5,119.34,285,285,167.5
17423,Grace Matthews,F,Wraps,16,67,127.5,115,70
2167,Priscilla Ribic,F,Single-ply,42.5,71.86,225,248,145
6345,Gayla Channel,F,Raw,54,47.99,80,122.5,46
14946,Amanda Johnson,F,Raw,31.5,89.7,117.5,137.5,55
20032,RB Hayes,M,Raw,36,120,225,240,125
26676,Courtney Pascoe,F,Raw,36.5,71.9,110,137.5,60
28379,Edith Guennec,F,Raw,59.5,54.52,110,150.5,55
24576,Jeanne Hardy,F,Wraps,43,113.5,142.5,137.5,90
29870,Maria Gudsteinsdottir,F,Single-ply,43.5,70.8,180,182.5,105
28256,Lyndall Vile,F,Wraps,29,76.4,207.5,210,105
19213,Odell Manuel,M,Wraps,37,150.9,430,400,245
2624,Kathy Tran,F,Raw,21,54.8,92.5,112.5,47.5
11526,Celeste Ramazani,F,Multi-ply,32,70.03,113.4,129.27,49.9
29381,Mark Chieco,M,Raw,38,98.4,260,250,222.5
10971,Kyle DePew,M,Raw,16,110,155,205,105
23613,Kara Schmidt,F,Raw,39,74.6,117.5,127.5,62.5
17341,Andrew Parsons,M,Wraps,26,89.5,255,272.5,171
8603,John Roy,M,Raw,32.5,90.6,170,205,122.5
15709,Elena Hernandez,F,Raw,14.5,67.7,105,135,50
28512,Jenna Marcinkowski,F,Wraps,22,80.15,150,165,85
21150,Eva Whittimore,F,Wraps,36,59.1,117.5,157.5,75
26791,Katrina McIntosh,F,Raw,49.5,81.5,125,145,55
22600,Georgia Gillie,F,Raw,30.5,102.9,115,122.5,70
22004,Joseph Gast,M,Raw,22,80.5,147.5,227.5,100
5207,Russell Clark,M,Single-ply,53.5,91.9,280,282.5,190
23268,Brad Cikana,M,Single-ply,30,135.62,282.5,255,252.5
18698,Clifton Braun,M,Wraps,28,111.67,160,175,90
6969,Sergey Gladkikh,M,Single-ply,19.5,66.8,290,280,195
12139,Davy Capriles,M,Wraps,18,107.2,245,230,185
20741,Mihir Kamani,M,Raw,23,97.4,212.5,275,142.5
10952,Jessica Saywell,F,Raw,25.5,77,137.5,177.5,85
26477,Brett Carruthers,M,Wraps,29,80.3,195,220,125
8654,Fabian Oseguera,M,Wraps,17,90.08,120,150,102.5
11942,Nicholas Griepentrog,M,Raw,38.5,152.65,230,232.5,140
14332,Tom Kane,M,Wraps,27,118.2,310,305,182.5
21647,Jason Sickels,M,Raw,19.5,100.7,240,225,160
17804,Joe Kelty,M,Raw,56,86.9,150,162.5,97.5
20770,Thomas Arrington,M,Single-ply,75,112.3,185,182.5,142.5
11297,Spencer Westwood,M,Multi-ply,28,74.93,-322.5,250,185
28274,Christian Kennedy,M,Raw,28.5,118.35,217.5,245,120
4496,David Brekke,M,Single-ply,42,79.92,142.5,190,105
4307,Paulina Castaneda,F,Wraps,19,54.8,105,130,55
3520,Irina Minikhanova,F,Raw,19.5,61.25,120,127.5,70
20945,Dawson Hall,M,Raw,22.5,119.8,257.5,285,167.5
29662,Jason Cacho,M,Raw,21.5,65.7,105,175,80
15603,Tavita Lipine,M,Raw,59.5,109.1,300,280,160
18584,Tyla Hughes,F,Single-ply,23.5,59.6,115,117.5,65
19823,Ashley Orth,F,Wraps,22,59.28,97.5,127.5,62.5
29809,Sandy Edwards,F,Raw,24,88.1,100,127.5,50
2078,Tyler Trent,M,Wraps,21,81.74,182.5,212.5,137.5
27795,Mike Effner,M,Raw,31.5,91.69,210,230,172.5
8468,Kloie Doublin,F,Raw,17.5,71.19,168.5,200.5,107.5
2183,Aderire Fakorede,M,Raw,20,123.8,27.5,287.5,162.5
2675,Ian Henderson,M,Wraps,26,98.7,250,245,150
2391,Justin Hunter,M,Wraps,28,89.6,225,300,152.5
10791,Nick Cambero,M,Raw,25,78.11,220,240,142.5
2522,Melis Papila,F,Raw,28.5,61.12,122.5,152.5,62.5
23021,Channing Doyle,M,Wraps,27,94.62,285,305,172.5
7476,Taylor Kearns,F,Raw,15,57.9,80,107.5,47.5
25878,James Frecklington,M,Raw,21.5,91.44,230,275,137.5
24383,Natalie Osburn,F,Raw,38,79.6,115,127.5,50
7740,Joseph Williams,M,Raw,31,95.4,205,272.5,152.5
19780,Tim Mugglestone,M,Raw,25.5,91.1,197.5,217.5,117.5
15634,Ron Pagal,M,Single-ply,67,105.32,210,210,160
21937,Jade Dickens,F,Raw,42.5,110.5,175,170,122.5
9050,Mathew Gorle,M,Wraps,24,82.4,177.5,187.5,112.5
17808,Briana Duval,F,Raw,26.5,56.1,127.5,150,67.5
19848,Mandy Lewis,F,Raw,35,74,137.5,157.5,70
1222,Daryl Carlin,M,Raw,15,90,142.88,183.7,131.54
28796,Kate Hart,F,Wraps,21,74.5,157.5,167.5,85
15469,Mike Knickrehm,M,Raw,61,130.2,92.5,152.5,80
11230,Dawn Bogart,F,Wraps,42,58.97,136.08,158.76,92.99
12896,Nesi Laukau,F,Raw,21.5,70.95,142.5,150,80
2154,Thad Harless,M,Wraps,40,133.9,322.5,277.5,205
7259,Michael Polis,M,Wraps,23,73.39,151.95,192.78,127.01
29198,Danielle Crain,F,Raw,28.5,108.3,62.5,112.5,65
2298,Nicolas Skaarup,M,Raw,26.5,119,255,275,195
10031,Jasmine Saenz,F,Raw,25,59.7,135,142.5,65
1803,Manjot Jassal,M,Raw,19.5,92.2,172.5,230,105
8977,Cayley McClean,F,Raw,22.5,80.6,145,182.5,77.5
8350,Justin Graalfs,M,Multi-ply,33,120.38,477.5,350,317.5
11060,Sukh-Ochir Yura,M,Raw,46.5,92.54,205,262.5,60
16658,Greg Norby,M,Wraps,22,80.4,260,242.5,170
20661,Alex Berg,M,Raw,20,59.6,165,190,120
26827,Derek Dickinson,M,Raw,28,98.93,265,297.5,195
19134,Chris Boette,M,Raw,34,86.7,155,185,92.5
22655,Candace Lord,F,Raw,32.5,64.7,120,145,70
15101,Erik Zepeda,M,Raw,18,63.28,107.5,140,90
8899,Brad Kretch,M,Wraps,58,122.79,257.5,292.5,117.5
6728,Joshua Masterson,M,Raw,23,150.6,240,265,160
15427,Raynie Exum,F,Single-ply,19.5,80.8,65,117.5,57.5
14731,Adam Beck,M,Raw,19.5,63.9,160,175,95
22884,Mia Kukkonen,F,Wraps,43,58,115,135,60
25459,Cyndi Ambert,F,Raw,44,58.24,127.5,122.5,80
9724,Mike Tiktinsky,M,Raw,68,86.9,117.5,137.5,95
22938,Noah Ancheta,M,Raw,23,66.1,205,240,147.5
16306,Shelby Horton,F,Raw,25.5,61,100,125,52.5
205,Jan Bast,M,Single-ply,35.5,91.99,315,300,270
9026,Dustine Stevens,F,Wraps,44,85,105,145,75
27159,Josh Felix,M,Wraps,30,87.1,182.5,235,117.5
10163,Lauren Croft,F,Raw,27.5,61.25,100,105,65
28137,Jonathan Allen,M,Raw,24.5,80,132.5,167.5,92.5
16238,Karina Mariscal,F,Raw,23,55.6,82.5,105,45
24068,Drew Detmers,M,Wraps,24,132.1,237.5,272.5,130
13423,Michael Butler,M,Wraps,21,98.07,210,230,137.5
10869,Dillion Bibo,M,Wraps,22,96.8,250,287.5,152.5
3538,Amber Joy,F,Raw,39.5,56.3,82.5,102.5,57.5
20265,Elizabeth Disney,F,Raw,26,57.1,107.5,125,50
18907,Peter Vestas,M,Wraps,19,73.2,132.5,167.5,92.5
16224,Cassy Krause,F,Wraps,57,65.59,82.5,125,50
12267,Luke Dreier,M,Wraps,30,119.4,300,330,187.5
958,Jean-Paul Belmas,M,Raw,64.5,98.35,200,200,100
5701,Jared Theriault,M,Raw,22.5,79.12,190,212.5,132.5
15354,David Decouleur,M,Raw,43.5,81.6,215,265,125
1005,Aixa Roche,F,Raw,44.5,71.16,117.5,137.5,67.5
20697,Matthew Treherne,M,Raw,27.5,91.38,270,312.5,165
14682,Josh Goodman,M,Raw,36,108.86,183.7,226.8,145.15
24872,Janeth Garcia,F,Raw,22.5,72.3,85,120,50
18500,Aaron Morekin,M,Raw,22,81.47,142.88,163.29,113.4
2771,Teresa Dinh,F,Raw,22,65.4,90,137.5,55
109,Kimberly Daorerk,F,Wraps,31,60,120,162.5,67.5
6800,Ville Suominen,M,Wraps,34,107.9,330,320,185
21819,Rafael González,M,Raw,18.5,88.27,202.5,225,142.5
15478,Amanda Lee,F,Wraps,14,61.2,67.5,95,37.5
12099,Joseph Craft,M,Raw,27,119.5,257.5,255,197.5
18996,Brodie Besler,M,Raw,18.5,147.1,260,240,145
23578,Kristi Cloud,F,Raw,46,57.88,47.5,92.5,25
20398,Ann Whitmarsh,F,Raw,62.5,56.68,77.5,102.5,37.5
26077,Kimberly Mills,F,Wraps,40,104.6,147.5,170,67.5
19379,Megan Tang,F,Raw,20,51.2,105,145,57.5
24571,Jervis Penn,M,Raw,46,134.68,155,227.5,155
8109,Kevin Chou,M,Raw,23,93.6,260,265,152.5
2339,Chance Cianciola,M,Raw,30,80.9,182.5,240,137.5
9508,Frankie Murrieta,M,Wraps,34,66.86,182.5,215,132.5
23755,Parker Duckworth,M,Raw,27,73.3,165,187.5,100
20242,Nina Dilorenzo,F,Raw,26,65.4,110,125,50
29372,Sergio Guevara,M,Raw,21,92.7,147.5,220,107.5
9332,Jean-Luc Collart,M,Single-ply,52.5,118.95,350,295,220
19135,Zach Roberts,M,Raw,29,82.37,155,195,120
9498,Samuel Johnson,M,Single-ply,21.5,102.8,235,240,167.5
25453,Cesar Galvan,M,Raw,29,73,135,185,92.5
4197,Vanessa Hearn,F,Wraps,30,100.79,167.5,220,92.5
19651,Zdeno Briš,M,Wraps,23,73.95,180,220,127.5
8117,Cesar Trinidad,M,Raw,23,66.7,137.5,175,90
29659,Jonathan Mead,M,Raw,19.5,100.03,237.5,260,142.5
10852,Massimiliano Buccioni,M,Single-ply,39.5,82.67,305,290,187.5
4045,Izzy Greenblatt,F,Raw,20.5,82.3,127.5,157.5,60
24525,Juan Sanchez,M,Raw,25.5,74,190,227.5,122.5
14803,Zachary Rollar,M,Raw,21.5,80,175,212.5,120
8066,Donald Rogers,M,Raw,24.5,92.1,247.5,305,150
19910,Ja'Nae Shelton,F,Raw,26.5,128.8,137.5,145,60
24319,Cayte Bona AZ,F,Single-ply,26,66.1,152.5,157.5,110
22729,Anne Hoffman,F,Raw,55.5,53.8,97.5,120,52.5
24151,Yifan Yang,F,Single-ply,24,59.45,95,130,52.5
14709,Quinton Bagayas,M,Single-ply,29,107.2,287.5,255,170
27957,Colleen Castillo,F,Raw,21,85.1,110,140,87.5
21617,Saeid Sharifisedeh,M,Raw,28.5,82.1,240,255,167.5
15400,Steve Jellett,M,Wraps,27,89.5,240,255,135
1476,Jeny Francisco,F,Wraps,29,73.48,107.5,132.5,55
29410,Vinny Porcelli,M,Raw,20,94.1,172.5,205,105
5748,Marte Elverum,F,Single-ply,25.5,71.7,230,235,127.5
9264,Vicky Fox,F,Raw,49,77.3,75,125,50
19461,Albert Lopez,M,Raw,49.5,99.5,227.5,262.5,157.5
4731,Cassandra Pinto,F,Wraps,21,84.8,152.5,155,80
13573,Mike Mason,M,Raw,25,57.61,172.37,201.85,102.06
22526,Rafael Wilson,M,Raw,31,89.9,200,207.5,137.5
11711,Mikey Mitchell,M,Wraps,15,71.85,154.22,181.44,90.72
50,Keith Kanemoto,M,Single-ply,48,87.63,277.5,255,220
22325,Eric Gundrum,M,Raw,27,106.3,245,280,190
29472,Jonathan Seymour,M,Raw,50.5,99.55,227.5,235,155
15381,Kristy Kinney,F,Wraps,25,87,105,130,52.5
1686,Richard Neumann,M,Raw,61,89.4,147.5,187.5,112.5
3859,Anthony Brandon,M,Raw,24,97.3,195,227.5,127.5
11773,Amanda Brothers,F,Raw,25,66.6,90,122.5,57.5
4398,Josef Maier,M,Raw,26,89.6,190,220,142.5
7413,Qua Scott,M,Raw,28,109.55,255,260,187.5
25586,Nicola Frazer,F,Raw,30.5,45,105,117.5,73
25507,Rebecca Bruce,F,Raw,44,56,95,162.5,60
8182,Jesse Stevenson,M,Raw,24.5,81.9,177.5,225,110
12469,Riccardo Duldulao,M,Raw,23.5,69.22,167.5,237.5,130
21137,Ervin Gainer,M,Single-ply,33.5,51.5,190,217.5,125
23988,Stirling Mason,M,Raw,24.5,81.8,150,205,125
14952,James Rhoads,M,Wraps,27,98.2,200,237.5,150
15188,Audunn Jonsson,M,Single-ply,36.5,142.2,385,355,250
23746,Ruben Ramirez,M,Wraps,20,89.63,265,272.5,147.5
5404,Anthony Hobaica,M,Raw,28,81.01,282.5,295.5,210
27341,Lee Yang,M,Raw,22.5,66,157.5,162.5,107.5
12724,Dustin Peters,M,Single-ply,19,110,195,242.5,150
14989,Kyndall Foust,F,Single-ply,19.5,83.36,230,200,117.5
24896,Charlene Cadavis,F,Raw,30,90,-162.5,190,80
10977,Ruben Garcia,M,Wraps,24,90.81,212.5,220,125
3198,Brent Delgado,M,Raw,23,97.9,250,300,177.5
5254,Corey Deutsch,M,Raw,26.5,91.2,197.5,230,127.5
4224,Randy Sue,M,Raw,21,89.1,220,225,147.5
13238,Kim Keen,F,Raw,47,77.88,95,120,67.5
8715,Kimmy Brooks,F,Wraps,28,74.1,175,192.5,77.5
23920,Khalid Khalil,M,Wraps,23,96.98,187.5,237.5,120
25857,Nayell Palomino,F,Wraps,21,66.95,105,142.5,52.5
27883,Megan Smith,F,Raw,39,74.8,95,105,57.5
9012,Ivan Vers,M,Raw,22.5,63.2,162.5,195,120
16022,Jennifer Millican,F,Raw,33.5,56.14,174.5,187.5,100
4828,Scott Young,M,Wraps,40,143.29,249.48,276.69,154.22
4260,Chase Noll,M,Raw,33,105,207.5,252.5,152.5
5027,Eric Leitman,M,Wraps,26,94.17,275,287.5,167.5
20614,Rangimaria Brightwater-Wharf,F,Single-ply,55.5,60.7,130,160,85
14393,William Gogolla,M,Single-ply,18.5,73.85,220,245,110
21000,Hollly Sullivan,F,Raw,37,88.8,85,117.5,40
8583,Amanda Brothers,F,Raw,26,59.1,95,120,60
15837,Glen Pfleegor Jr,M,Wraps,17.5,59.24,90.72,129.27,49.9
16202,Christy James,F,Raw,40,86,117.5,170,60
24676,Tyler Branch,M,Wraps,22,113.45,240,272.5,145
11140,Cassandra Pullins,F,Raw,35.5,83.9,132.5,142.5,72.5
21862,Katie Ford,F,Single-ply,19,74.25,152.5,165,95
22028,Mark Danyluk,M,Raw,49,153.3,182.5,227.5,230
28036,Joel Keleher,M,Raw,25.5,90.55,165,197.5,127.5
24145,Gage Peterson,M,Wraps,12,75,150,147.5,75
8814,Chance Cole,M,Raw,17.5,85,165,195,90
23892,Michael Womeldorf,M,Wraps,57,96.43,125,155,117.5
18377,Max Bristow,M,Single-ply,72.5,67.15,100,160,67.5
7110,Howard Winegarden,M,Single-ply,51,110.7,212.5,205,205
22088,James Lorian,M,Raw,25.5,109.7,230,277.5,150
1223,Jennifer Morrow,F,Raw,28,61.3,52.5,82.5,42.5
27665,Cody Schoppe,M,Wraps,28,107.68,142.5,170,112.5
3625,Marie Metcalf,F,Raw,69,87.5,95,117.5,52.5
15910,Kieu Nguyen,F,Raw,22,51.2,82.5,140,45
23228,Chase Collins,M,Single-ply,24,105.51,-237.5,200,242.5
9785,Anthony Kilgore,M,Single-ply,17,90,151.95,192.78,102.06
3360,Dulce Pinell,F,Raw,34,58.95,92.5,102.5,45
12032,Benjamin Banks,M,Single-ply,23.5,109.64,300,322.5,240
10733,Tamio Yasui,M,Single-ply,72.5,76.04,145,150,117.5
21708,Carlos Ochoa,M,Raw,22.5,160.3,210,230,130
17918,Abia-Imo Roberts,M,Raw,34,95.07,137.5,225,127.5
10948,Kellen Tolle,M,Raw,11,47.9,77.5,107.5,40
930,Travis Hall,M,Raw,22.5,80.4,185,215,115
28682,Aleksandr Dushkin,M,Raw,19,67,157.5,165,107.5
